country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Madhya Pradesh",Indore,"Airport Area, Indore - IMC","18-04-2026 17:00:00",22.7289,75.8076,SO2,10,13,12
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","18-04-2026 17:00:00",22.4310,75.5213,SO2,5,21,12
India,"Madhya Pradesh",Indore,"Maguda Nagar, Indore - IMC","18-04-2026 17:00:00",22.7524,75.8872,NO2,4,12,10
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","18-04-2026 17:00:00",22.7084,75.8815,OZONE,4,16,14
India,"Madhya Pradesh",Jabalpur,"Marhatal, Jabalpur - MPPCB","18-04-2026 17:00:00",23.168606,79.932247,PM10,98,270,166
India,"Madhya Pradesh",Jabalpur,"Marhatal, Jabalpur - MPPCB","18-04-2026 17:00:00",23.168606,79.932247,NH3,7,11,9
India,"Madhya Pradesh",Jabalpur,"Suhagi, Jabalpur - JMC","18-04-2026 17:00:00",23.218135,79.957770,PM10,46,146,82
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","18-04-2026 17:00:00",23.50016,80.23284,PM2.5,40,127,71
India,"Madhya Pradesh",Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","18-04-2026 17:00:00",23.108440,77.511428,PM10,82,145,109
India,"Madhya Pradesh",Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","18-04-2026 17:00:00",23.108440,77.511428,CO,NA,NA,NA
India,"Madhya Pradesh",Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab","18-04-2026 17:00:00",23.331731,75.045981,PM2.5,17,116,45
India,"Madhya Pradesh",Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab","18-04-2026 17:00:00",23.331731,75.045981,NO2,14,29,18
India,"Madhya Pradesh",Sagar,"Civil Lines, Sagar - MPPCB","18-04-2026 17:00:00",23.838586,78.759431,NO2,10,81,27
India,"Madhya Pradesh",Bhopal,"Paryavaran Parisar, Bhopal - MPPCB","18-04-2026 17:00:00",23.210494,77.425409,NH3,5,7,6
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","18-04-2026 17:00:00",22.9682591,76.064118,CO,24,72,32
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","18-04-2026 17:00:00",26.203442,78.193251,NO2,15,144,51
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","18-04-2026 17:00:00",26.203442,78.193251,OZONE,69,155,127
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","18-04-2026 17:00:00",19.875620,75.387310,NH3,1,8,3
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB","18-04-2026 17:00:00",19.8389439,75.244448,SO2,27,42,32
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","18-04-2026 17:00:00",19.863756,75.321188,SO2,9,43,26
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","18-04-2026 17:00:00",12.733409,77.298051,PM2.5,44,84,64
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB","18-04-2026 17:00:00",13.940000,75.555917,SO2,3,4,3
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB","18-04-2026 17:00:00",19.0243902,73.0406721,NO2,24,93,50
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB","18-04-2026 17:00:00",19.0243902,73.0406721,NH3,2,5,4
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB","18-04-2026 17:00:00",19.0243902,73.0406721,SO2,13,14,13
India,Maharashtra,Dombivli,"Kalu Nagar, Dombivli - MPCB","18-04-2026 17:00:00","19.2268427 ","73.0788456 ",NO2,13,37,20
India,Maharashtra,Dombivli,"Kalu Nagar, Dombivli - MPCB","18-04-2026 17:00:00","19.2268427 ","73.0788456 ",NH3,NA,NA,NA
India,Maharashtra,Dombivli,"Kalu Nagar, Dombivli - MPCB","18-04-2026 17:00:00","19.2268427 ","73.0788456 ",SO2,2,13,6
India,Maharashtra,Hingoli,"Ashta Vinayak Nagar, Hingoli - MPCB","18-04-2026 17:00:00",19.710842,77.151824,PM2.5,15,67,41
India,Maharashtra,Hingoli,"Ashta Vinayak Nagar, Hingoli - MPCB","18-04-2026 17:00:00",19.710842,77.151824,NO2,8,73,28
India,Maharashtra,Hingoli,"Ashta Vinayak Nagar, Hingoli - MPCB","18-04-2026 17:00:00",19.710842,77.151824,NH3,NA,NA,NA
India,Maharashtra,Hingoli,"Ashta Vinayak Nagar, Hingoli - MPCB","18-04-2026 17:00:00",19.710842,77.151824,SO2,4,18,9
India,Maharashtra,Hingoli,"Ashta Vinayak Nagar, Hingoli - MPCB","18-04-2026 17:00:00",19.710842,77.151824,CO,14,69,16
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB","18-04-2026 17:00:00",21.001264,75.565602,OZONE,18,112,91
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB","18-04-2026 17:00:00",19.854616,75.905894,NH3,3,5,4
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB","18-04-2026 17:00:00",16.6870449,74.2505872,PM10,33,78,56
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB","18-04-2026 17:00:00",16.7143745,74.2426398,NH3,NA,NA,NA
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB","18-04-2026 17:00:00",16.7143745,74.2426398,CO,9,62,39
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM","18-04-2026 17:00:00",19.19709,72.82204,PM10,45,108,69
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM","18-04-2026 17:00:00",19.19709,72.82204,SO2,1,8,2
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM","18-04-2026 17:00:00",18.96702,72.84214,NH3,6,7,7
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM","18-04-2026 17:00:00",18.96702,72.84214,SO2,5,10,8
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB","18-04-2026 17:00:00",19.1878657,72.8304069,NO2,5,20,11
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM","18-04-2026 17:00:00",18.897756,72.813320,NH3,24,29,27
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM","18-04-2026 17:00:00",18.897756,72.813320,SO2,2,12,7
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM","18-04-2026 17:00:00",18.897756,72.813320,OZONE,23,66,54
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM","18-04-2026 17:00:00",19.23241,72.86895,CO,28,54,37
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB","18-04-2026 17:00:00",19.2243333,72.8658113,NO2,NA,NA,NA
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC","18-04-2026 17:00:00",18.9767,72.8380,PM10,36,111,64
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM","18-04-2026 17:00:00",19.11074,72.86084,PM2.5,32,68,50
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM","18-04-2026 17:00:00",19.11074,72.86084,PM10,63,122,95
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM","18-04-2026 17:00:00",19.11074,72.86084,NH3,3,5,4
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM","18-04-2026 17:00:00",19.11074,72.86084,CO,15,41,21
India,Maharashtra,Mumbai,"Worli, Mumbai -MPCB","18-04-2026 17:00:00",18.9942180,72.8158167,OZONE,8,36,31
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB","18-04-2026 17:00:00",21.14472,79.107595,PM10,54,139,108
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB","18-04-2026 17:00:00",21.14472,79.107595,NO2,19,137,53
India,Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB","18-04-2026 17:00:00",21.143383,79.048912,SO2,2,46,18
India,Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB","18-04-2026 17:00:00",21.143383,79.048912,CO,10,38,21
India,Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB","18-04-2026 17:00:00",21.143383,79.048912,OZONE,23,84,72
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB","18-04-2026 17:00:00",19.173852,77.296291,PM2.5,NA,NA,NA
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB","18-04-2026 17:00:00",18.910000,72.820000,CO,69,82,79
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC","18-04-2026 17:00:00",19.083694,72.920967,CO,9,34,21
India,Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC","18-04-2026 17:00:00",19.215859,72.831718,CO,NA,NA,NA
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB","18-04-2026 17:00:00",19.0632143,72.8456324,NH3,6,22,12
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB","18-04-2026 17:00:00",19.0632143,72.8456324,OZONE,1,47,36
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM","18-04-2026 17:00:00",19.1653323,72.922099,PM10,34,126,65
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC","18-04-2026 17:00:00",19.000084,72.856730,PM2.5,9,78,30
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC","18-04-2026 17:00:00",19.060498,72.923356,PM2.5,20,51,34
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC","18-04-2026 17:00:00",19.060498,72.923356,PM10,46,105,76
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC","18-04-2026 17:00:00",19.060498,72.923356,OZONE,4,52,31
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM","18-04-2026 17:00:00",19.000083,72.813993,NO2,62,90,75
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM","18-04-2026 17:00:00",19.000083,72.813993,NH3,3,5,3
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB","18-04-2026 17:00:00",19.047000,72.874600,PM10,33,75,48
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB","18-04-2026 17:00:00",20.555712,74.529236,PM2.5,70,158,107
